en,zh-tw,zh-cn,zh-hk,", 'zh-cn",zh-mo,zh-my,zh-sg
Metal Oxide Semiconductor,金氧半導體,金属氧化物半导体,,,,,
Metropolitan Area Network,都會網路,城域网,,,,,
Micro-blog,微型部落格,微博,微型博客,,,微博,微博
microcontroller,單晶片,单片机,,,,,
middleware,中介軟體,中间件,,,,,
midrange,中階,中端,,,,,
MIDP,行動資訊裝置設定檔,移动信息设备配置文件,流動資訊器材定義檔,,,,
minesweeper,踩地雷,扫雷,,,,,
mobile agent,行動代理,移动代理,流動代理,,,,
mobile app,行動應用,移动应用,流動應用,,,,
mobile broadcasting,行動廣播,移动广播,流動廣播,,,,
mobile browser,行動瀏覽器,移动浏览器,流動瀏覽器,,,,
mobile client,行動用戶端,移动客户端,流動用戶端,,,,
mobile code,行動程式碼,移动代码,流動程式碼,,,,
mobile company,行動公司,移动公司,流動公司,,,,
mobile computer,行動電腦,移动计算机,流動電腦,,,,
mobile communication,行動通訊,移动通信,流動通訊,,,,
mobile data,行動資料,移动数据,流動數據,,,,
mobile device,行動裝置,移动设备,流動裝置,,流動裝置,,
mobile Internet,行動網際網路,移动互联网,流動互聯網,,,,
Mobile Internet Device,行動網路裝置,移动联网设备,行動聯網裝置,,,,
mobile network,行動網路,移动网络,流動網絡,,,,
mobile network operator,行動網路業者,移动网络运营商,流動網絡營辦商,,,,
mobile operating system,行動作業系統,移动操作系统,流動作業系統,,,,
mobile operator,行動業者,移动运营商,流動營辦商,,,,
mobile pay,行動支付,移动支付,流動支付,,,,
mobile phone,行動電話,移动电话,流動電話,,,,
mobile platform,行動平台,移动平台,流動平台,,,,
mobile product,行動產品,移动产品,流動產品,,,,
Mobile software,行動軟體,移动软件,流動軟件,,,,
mobile telecom,行動電信,移动电信,流動電訊,,,,
Mobile telecom operator,行動電信業者,移动电信运营商,流動電訊營辦商,,,,
mobile television,行動電視,移动电视,流動電視,,,,
mobile terminal,行動端,移动端,流動端,,,,
mobile version,行動版,移动版,流動版,,,,
mobility,行動性,移动性,流動性,,,,
modem,數據機,调制解调器,,,,调制解调器,调制解调器
modifier,修飾詞,修饰符,,,,,
module,模組,模块,模組,,模組,模块,模块
monolithic kernel,單核心,宏内核,整塊性核心,,,,
most derived class,最末層衍生類別,最底层派生类,,,,,
motherboard,主機板,主板,,,,,
mouse,滑鼠,鼠标,,,,,
multi-channel network,多頻道聯播網,多频道网络,,,,,
multi-part archive,分割壓縮,分卷压缩,,,,,
multi-tasking,多工,多任务,,,,,
multiagent system,多代理系統,多主体系统,,,,,
multihoming,內送流量備援容錯機制,多宿主,,,,,
Multimedia Messaging Service,多媒體簡訊,彩信,多媒體短訊,,,多媒体短讯,多媒体简讯
multithreading,,多线程,,,,多线程,多线程
mutual information,相互資訊,互信息,相互資訊,,相互資訊,互信息,互信息
My Document,我的文件,我的文档,,,,,
Mobile World Congress,世界行動通訊大會,世界移动通信大会,世界流動通訊大會,,,,
Mobile content management,行動內容管理,移动内容管理,,,,,
Mobile application management,行動應用管理,移动应用管理,,,,,
Mobile device management,行動裝置管理,移动设备管理,,,,,
namespace,命名空間,名字空间,命名空間,,命名空間,名字空间,名字空间
native,原生的,本地的,原生,,原生,,
narrowband,窄頻,窄带,,,,,
navigation bar,導覽列,导航条,,,,,
nest,巢狀,嵌套,,,,,
Net disk,網路硬碟,网盘,網路硬碟,,網路硬碟,,
Netbook,小筆電,上网本,NetBook,,,,
Netizen,網友,网民,網民,,,,
Netscape Navigator,網景領航員,网景导航者,,,,,
Network,網路,网络,網絡,,,,
network card,,网卡,,,,网卡,网卡
network database,網狀式資料庫,网状数据库,網絡數據庫,,,,
Network Neighbourhood,網路上的芳鄰,网上邻居,,,,,
Network operator,網路業者,网络运营商,網絡營辦商,,,,
NVIDIA,輝達,英伟达,,,,,
normalization,規格化,规范化,規範化,,,,
Norton Ghost,諾頓魅影系統,诺顿克隆精灵,,,,,
null list,空串列,空列表,,,,,
null string,空字串,空串,,,,,
object,物件,对象,物件,,物件,,
object code,目的碼,目标代码,目標碼,,,,
object file,目的檔,目标文件,目標文件,,,目标文件,目标文件
Object-oriented,物件導向,面向对象,,,,,
Object-oriented programming,物件導向程式設計,面向对象编程,,,,,
octree,八元樹,八叉树,八叉樹,,,,
Office Shortcut Bar,快捷列,快捷工具栏,,,,,
offline,離線,,離線,,離線,,
ones\,一補數,,一補碼,反码,一補碼,,
online,連線,在线,連線,,連線,,
online hard drive,網路硬碟,网络硬盘,網絡硬碟,,,,
online shopping,網路購物,网络购物,網絡購物,,,,
online video,網路影片,在线视频,線上影片,,,,
On-Line Transaction Processing,線上異動處理,联机交易处理,,,,,
On-Line Analytical Processing,連線分析處理,联机分析处理,,,,,
open,開啟,开启,,,,,
Open Handset Alliance,開放手機聯盟,开放手持设备联盟,,,,,
Open Mobile Alliance,開放行動聯盟,开放移动联盟,流動通訊開放制式聯盟,,,,
operand,運算元,操作数,,,,,
operating system,作業系統,操作系统,,,,,
operation object,運算物件,操作对象,,,,,
operator,運算符號,运算符号,運算子,,運算子,运算符,运算符
optimal,最佳,,最佳,,最佳,,
optimization,最佳化,优化,,,,,
Optical Network Terminals,光纖網路終端,光网络终端,,,,,
outport,匯出,导出,,,,,
overflow,溢位,溢出,,,,溢出,溢出
overload,多載,重载,,,,重载,重载
override,覆寫,改写,,,,,
package,,包,,,,包,包
package management system,軟體套件管理系統,软件包管理系统,軟件套件管理系統,,,,
packet switch,封包交換,分组交换,,,,,
page view,瀏覽量,访问量,,,,,
paint,,画图,,,,画图,画图
palette,調色盤,调色板,,,,,
paradigm,範式,范型,,,,,
parallel,並列,并行,,,,,
parallel computing,平行計算,并行计算,,,,,
parallel port,並列埠,并行端口,並列埠,,並列埠,,
parameter list,參數列,参数表,,,,,
parent class,父類別,父类,,,,,
parser,剖析器,分析器,,,,,
partition,分割區,分区,分區,,,,
paste,貼上,粘贴,,,,,
Password Authentication Protocol,通行碼鑑別協定,密码认证协议,,,,,
patch,修補程式,补丁,,,,,
Peer-to-Peer,對等,点对点,,,,,
performance,效能,性能,,,,,
permission,,权限,,,,权限,权限
persistence,永續性,持久性,,,,,
Personal Area Network,個人區域網路,个人网,,,,,
personal digital assistant,個人數位助理,个人数码助理,個人數碼助理,,,,
Petabyte,拍位元組,拍字节,,,,,
photo,相片,照片,,,,,
photocopy,影印,复印,,,,,
physical layer,實體層,物理层,,,,,
physical address,實體位址,物理地址,,,,,
physical memory,實體記憶體,物理内存,,,,,
picture viewer,圖片檢視器,图像检视器,圖片檢視器,,圖片檢視器,,
pipeline,管線,流水线,管線,,管線,,
pipelining,管線,流水线,管線化,,管線化,,
pixel,,像素,像素,,像素,像素,像素
placeholder,預留位置,占位符,,,,,
Plug and Play,隨插即用,即插即用,,,,,
plug-in,外掛程式,插件,,,,插件,插件
podcast,Podcast,播客,,,,,
point and click,,点击,點擊,,點擊,点击,点击
pointer,指標,指针,,,,,
polymorphism,多型,多态,,,,,
Popups,彈出式視窗,弹出窗口,,,,,
port,埠,端口,,,,,
port forwarding,通訊埠轉發,端口转发,,,,,
portable,可攜式,便携式,可攜式,,可攜式,便携式,便携式
portable application,可攜式軟體,绿色软件,可攜式軟件,,可攜式軟件,,
portable edition,可攜式版本,便携版,,,,,
portable hard drive,行動硬碟,移动硬盘,流動硬碟,,,,
Portable Document Format,可攜式文件格式,可移植文档格式,,,,,
portal,入口網站,门户网站,入門網站,,,,
post,貼文,帖子,,,,,
power bank,行動電源,移动电源,流動充電器,,,,
preference,偏好設定,,參數設置,,參數設置,,
preference settings,偏好設定,首选项,參數設置,,,,
prefix,字首,前缀,,,,,
presentation,簡報,演示稿,,,,,
print,列印,打印,,,,,
print preview,預覽列印,打印预览,,,,,
printer,印表機,打印机,,,,,
procedural generation,,过程生成,,,,过程生成,过程生成
procedural programming,程序導向,面向过程,,,,,
process,行程,进程,行程,,行程,进程,进程
process control block,過程控制段,进程控制块,行程控制表,,,,
process group,行程群組,进程组,,,,,
product key,產品金鑰,产品密钥,,,,,
profile,設定檔,配置文件,,,,,
program,程式,程序,,,,,
programmer,程式設計師,程序员,,,,,
programmable,可程式化,可编程,,,,可编程,可编程
programming language,程式語言,编程语言,程式語言,,程式語言,编程语言,编程语言
Programming paradigm,程式設計範式,编程范型,,,,,
project,專案,项目,計劃,,計劃,计划,项目
project page,計畫頁,项目页,,,,,
protocol,協定,协议,協定,,協定,,
prototype-based programming,原型程式設計,基于原型的编程,,,,,
proximity sensor,鄰近感測器,接近传感器,,,,,
Pseudocode,虛擬碼,伪代码,偽代碼,,,,
pattern recognition,圖型識別,模式识别,,,,,
Public land mobile network,公用陸上行動網路,公共陆基移动网,公地流動網路,,,,
pull-down lists,下拉式清單,下拉列表,,,,,
purge,清除快取,清理缓存,清除快取,,清除快取,,
push,推播,推送,,,,,
QR code,,QR码,QR碼,,QR碼,QR码,QR码
queue,佇列,队列,,,,,
quadtree,四元樹,四叉树,四叉樹,,,,
quality,品質,质量,質素,,質素,质量,质量
radio button,無線電鈕,单选按钮,,,,,
random-access memory,隨機存取記憶體,,隨機存取記憶體,,隨機存取記憶體,,
random number,亂數,随机数,,,,,
readme,讀我檔案,自述文件,,,,,
read-only,唯讀,只读,,,,,
read-only memory,唯讀記憶體,只读存储器,,,,,
real mode,真實模式,实模式,真實模式,,真實模式,实模式,实模式
real-time,即時,,即時,,即時,,
reboot,重新啟動,重启,,,,重启,重启
recognition,辨識,识别,,,,,
recover,,恢复,,,,恢复,恢复
recovery disc,還原光碟,恢复光盘,,,,,
recovery record,恢復記錄,恢复记录,修復記錄,,,,
recursion,遞迴,递归,遞歸,,,,
Recycle Bin,資源回收筒,回收站,,,,,
redirect,重新導向,重定向,,,,,
redirect page,重新導向頁面,重定向页,重新導向頁面,,重新導向頁面,,
reference,參照,引用,,,,,
dereference,解除參照,解引用,,,,,
refresh,重新整理,刷新,,,,,
register,暫存器,寄存器,,,,,
registry,登錄檔,注册表,,,,,
regular expression,正規表示式,正则表达式,正則表達式,,,,
regular language,正規語言,正则语言,正則語言,,,正则语言,正则语言
reinstallation,重新安裝,重装,,,,,
relational,,关系,,,,关系,关系
relational database,關聯式資料庫,关系数据库,關聯式數據庫,,,,
release,,发布,,,,发布,发布
remote,遠端,远程,,,,,
remote desktop protocol,遠端桌面協定,远程桌面协议,,,,,
remote procedure call,遠端程序呼叫,远程过程调用,,,,,
removable,抽取式,可移动,,,,,
rename,重新命名,重命名,,,,,
render,彩現,渲染,,,,,
repeating group,重複群,重复组,,,,,
reply,答覆,答复,,,,,
Republic of Gamers,玩家共和國,玩家国度,,,,,
reset,重設,重置,,,,,
resolution,解析度,分辨率,解像度,,,,
response,回應,,,,,,
Rich Internet application,多樣化網際網路應用程式,丰富互联网应用程序,多樣化互聯網應用程式,,,,
routine,常式,例程,,,,,
run,執行,运行,,,,,
running in the background,背景執行,后台运行,,,,,
sample,範例,示例,,,,,
sampling rate,取樣率,采样率,取樣率,,取樣率,采样率,采样率
SanDisk,新帝,闪迪,SanDisk,,,,
save,儲存,,儲存,,儲存,,
scanner,掃描器,扫描仪,,,,,
schedule,排程,调度,,,,,
scheduler,排程器,调度器,,,,,
screen,螢幕,屏幕,熒幕,,,,
screensaver,螢幕保護裝置,屏幕保护程序,熒幕保護裝置,,,,
screenshot,螢幕擷取,截屏,熒幕擷取,,,,
script,指令碼,脚本,指令碼,,指令碼,,
scripting language,手稿語言,脚本语言,手稿語言,,手稿語言,,
scroll,捲動,滚动,,,,,
scroll bar,捲軸,滚动栏,,,,,
scroll box,捲動方塊,滚动框,,,,,
SDK,軟體開發套件,软件开发工具包,軟件開發套件,,,,
search,搜尋,搜索,,,,,
search box,搜尋方塊,搜索框,,,,,
search key,搜尋鍵碼,搜索关键字,,,,,
second normal form,第二正規化,第二范式,,,,,
sector,磁區,扇区,,,,,
Secure Sockets Layer,安全通訊協定,安全套接层,,,,,
security software,安全軟體,安全软件,保安軟件,,保安軟件,安全软件,安全软件
Semantic Web,語意網,语义网,,,,,
semantics,語意,语义,,,,,
semaphore,號誌,信号量,號誌,,號誌,,
send,傳送,发送,,,,,
send SMS,傳簡訊,发短信,傳短訊,,,发短讯,发简讯
sensor,感測器,传感器,,,,,
Serial computing,序列計算,串行计算,,,,,
Serial port,序列埠,串口,,,,,
server,伺服器,服务器,伺服器,,伺服器,,
server message block,伺服器訊息區塊,服务器消息块,,,,,
server-side,伺服器端,服务端,伺服器端,,伺服器端,服务端,服务端
service framework,服務架構,服务框架,,,,,
session,對談,会话,,,,,
Session Identity,交談識別碼,会话标识,,,,,
session ID,交談識別碼,会话标识,,,,,
session hijacking,連線劫持,会话劫持,,,,,
setting,設定,设置,設置,,,,
set-top box,機上盒,机顶盒,機頂盒,,,,
share,共享,共享,共用,,,,
shared folder,共用資料夾,共享文件夹,,,,共享文件夹,共享文件夹
short video,短影音,短视频,短影音,,,,
shortcut,捷徑,快捷方式,,,,,
shortcut key,快速鍵,快捷键,,,,,
Single Link,單連結,单通道,,,,,
signal,訊號,信号,訊號,,訊號,信号,信号
signature,簽章,签名,,,,,
single sign-on,單一登入,单点登录,,,,,
Site Identity Button,網站識別鈕,站点标识按钮,,,,,
sixth normal form,第六規格化,第六范式,,,,,
skin,外觀,,佈景主題,,佈景主題,,
slider,滾軸,滑块,,,,,
smart,智慧型,智能,智能,,,,智慧
smart card,智慧卡,智能卡,智能卡,,,,智慧卡
Smart speaker,智慧型喇叭,智能音箱,智能音箱,,,,
smart television,智慧型電視,智能电视,智能電視,,,,
smartphone,智慧型手機,智能手机,智能手機,,,,
smartwatch,智慧型手錶,智能手表,智能手錶,,,,
SMS,簡訊,短信,短訊,,短訊,短讯,简讯
Snowden,史諾登,斯诺登,斯諾登,,,,
social media,社群媒體,社交媒体,社交媒體,,,,
social network,社群網路,社交网络,社交網絡,,,,
social networking site,社群網站,社交网站,社交網站,,,,
socket,通訊端,套接字,,,,套接字,套接字
sockets layer,通訊層,套接层,,,,,
software,軟體,软件,軟件,,,,
software process,軟體流程,软件过程,軟件流程,,,,
solid archive,結實壓縮,固实压缩,,,,,
Sony Mobile,索尼行動,索尼移动,索尼流動,,,,
Sony Mobile Communications,索尼行動通訊,索尼移动通信,索尼流動通訊,,,,
Sound card,音效卡,声卡,,,,,
source code,原始碼,源代码,原始碼,,原始碼,原始码,原始码
source file,原始檔,源文件,,,,,
spreadsheet,電子試算表,表格,,,,表格,表格
spider solitaire,連環新接龍,蜘蛛纸牌,,,,,
statement,語句,语句,陳述式,,,,
stack,堆疊,堆栈,,,,,
stack frame,堆疊框,堆栈帧,堆疊幀,,堆疊幀,,
stack-oriented,堆疊導向,面向堆栈,,,,,
standard definition,標準畫質,标清,標清,,,,
static typing,靜態型別,静态类型,,,,,
status bar,狀態列,状态栏,,,,,
storage,儲存,存储,儲存,,儲存,,
stored procedure,儲存程序,存储程序,儲存程序,,儲存程序,存储程序,存储程序
stream,串流,流,串流,,串流,流,流
stream cipher,串流加密法,流密码,,,,,
string,字串,字符串,,,,,
strong typing,強型別,强类型,,,,,
submit,,提交,,,,提交,提交
subnet,子網路,子网,子網絡,,,,
subnet mask,子網路遮罩,子网掩码,子網絡遮罩,,,,
subroutine,次常式,子例程,,,,,
suffix,字尾,后缀,,,,,
support,支援,支持,,,,,
Sun Microsystems,昇陽電腦,Sun微系统,太陽電腦,,,,
syntax highlighting,語法突顯,语法高亮,語法突顯,,語法突顯,语法高亮,语法高亮
system (format),格式,,格式,,格式,,
tab,索引標籤,选项卡,,,,,
tail recursion,尾端遞迴,尾部递归,,,,,
target,目標軟體,目标软件,目標軟件,,,,
target user,目標使用者,目标用户,,,,,
task bar,工作列,任务栏,,,,,
task manager,工作管理員,任务管理器,,,,,
task switch,工作切換,任务切换,,,,,
template,模板,模板,模板,,模板,模板,模板
Terabyte,兆位元組,太字节,,,,,
terminator,終端子,终结器,,,,,
ternary linked list,三元連結串列,三叉链表,三元連結串列,,三元連結串列,,
ternary search tree,三元搜尋樹,三叉搜索树,三叉搜尋樹,,三叉搜尋樹,,
ternary tree,三元樹,三叉树,三叉樹,,,,
terrestrial television,無線電視,地面电视,地面電視,,,,
terrestrial broadcasting,無線廣播,地面广播,地面廣播,,,,
text,文字,,文字,,文字,,
textbox,文字方塊,文本框,文本框,,,,
text editor,文字編輯器,文本编辑器,,,,,
text file,文字檔案,文本文件,,,,,
third normal form,第三正規化,第三范式,,,,,
threads,執行緒,线程,線程,,,,
throw,丟擲,抛出,投擲,,,,
thumbnail,縮圖,缩略图,,,,,
timeout,逾時,超时,,,,,
title bar,標題列,标题栏,,,,,
token,權杖,令牌,,,,,
toolbar,工具列,工具栏,,,,,
touch,輕觸,触摸,,,,,
touchscreen,觸控螢幕,触屏,輕觸熒幕,,,,
TouchPad,觸控板,触摸板,,,,,
track,磁軌,磁道,,,,,
traditional (Chinese),,繁体,繁體,,繁體,繁体,繁体
Trinitron,特麗霓虹,特丽珑,,,,,
troubleshooting,疑難排解,疑难解答,,,,,
Turing completeness,圖靈完備,图灵完备,圖靈完備,,圖靈完備,图灵完全,图灵完备
two-dimensional code,二維條碼,二维码,二維條碼,,二維條碼,二维码,二维码
two\,二補數,,二補碼,补码,二補碼,,
type,,类型,,,,类型,类型
type checking,型別檢查,类型检查,,,,,
type system,型別系統,类型系统,,,,,
Ultrabook,超極致筆電,超极本,Ultrabook,,Ultrabook,,
unary function,一元函式,单参函数,,,,,
underflow,,下溢,,,,下溢,下溢
underline,底線,下划线,,,,,
undo,復原,撤销,復原,,復原,,
unified shader model,統一著色器架構,统一渲染架构,,,,,
uninstall,解除安裝,卸载,解除安裝,,解除安裝,,
Universal Serial Bus,通用序列匯流排,通用序列总线,通用序列匯流排,,通用序列匯流排,通用串行总线,通用串行总线
upload,,,上載,,,,
UPS,不斷電系統,电源保护,,,,,
URL shortening,縮網址,缩略网址,,,,,
USB flash drive,隨身碟,U盘,USB手指,,USB手指,U盘,U盘
user,使用者,用户,用戶,,用戶,用户,用户
user group,使用者群組,用户组,用戶組,,用戶組,用户组,用户组
user interface,人機介面,人机界面,用戶介面,,,用户界面,用户界面
user page,使用者頁面,用户页,用戶頁,,,用户页,用户页
userbox,使用者方塊,用户框,用戶框,,,,
username,使用者名稱,用户名,用戶名,,,用户名,用户名
variable,變數,变量,變數,,變數,变量,变量
variable bitrate,變動位元速率,可变码率,動態編碼率,,,,
vector,向量,,向量,,向量,,
vector graphics,向量圖形,矢量图形,,,,,
VGA connector,視訊連接頭,视频接口,影像端子,,,,
video card,顯示卡,显卡,顯示卡,,顯示卡,显卡,显卡
video document,視訊檔案,视频文档,,,,,
video file,視訊檔,视频档,影片檔,,,,
video game,電動遊戲,视频游戏,,,,,
video input,視訊輸入,视频输入,視頻輸入,,,,
video memory,視訊記憶體,显存,影像記憶體,,,,
video output,視訊輸出,视频输出,視頻輸出,,,,
video processor,影像處理器,视频处理器,,,,,
video streaming,影音串流,影音流,,,,,
video track,視訊軌,视频轨,視頻軌,,,,
videotape,錄影帶,录像带,錄影帶,,錄影帶,,
view,檢視,查看,,,,,
virtual community,虛擬社群,虚拟社区,,,,,
virtual function,虛擬函式,虚函数,,,,,
virtual machine,虛擬機器,虚拟机,,,,,
virtual memory,虛擬記憶體,虚拟内存,,,,,
visit,,访问,,,,访问,访问
visual,視覺化,可视化,,,,,
volatile (memory),揮發性,易失性,,,,,
volume,,卷,,,,卷,卷
Logical volume management,邏輯捲軸管理,逻辑卷管理,,,,,
Virtual Private Network,虛擬私人網路,虚拟专用网,,,,,
von Neumann,馮·紐曼,冯·诺伊曼,,,,,
wallpaper,桌布,壁纸,,,,,
watermark,浮水印,水印,,,,,
Watson,華生,沃森,,,,,
weak typing,弱型別,弱类型,,,,,
web animation,網路動畫,网络动画,網絡動畫,,,,
webcache,頁面快取檔,网页快照,,,,,
webcam,網路攝影機,摄像头,網絡攝影機,,,,
webcomics,網路漫畫,网络漫画,網絡漫畫,,,,
Wide Area Network,廣域網路,广域网,,,,,
wildcard character,萬用字元,通配符,,,,,万用字元
window manager,視窗管理員,窗口管理器,,,,,
Western Digital,威騰電子,西部数据,,,,,
wide screen,寬螢幕,宽屏,寬屏幕,,寬屏幕,,
Windows Explorer,檔案總管,资源管理器,,,,,
wizard,精靈,向导,,,,,
word process,文書處理,文字处理,,,,,
word processor,文書處理器,文字处理器,,,,,
workgroup,工作群組,工作组,,,,,
World Wide Web,全球資訊網,万维网,萬維網,,,,
World Wide Web Consortium,全球資訊網協會,万维网联盟,萬維網聯盟,,,,
write-only,唯寫,只写,,,,,
write-only memory,唯寫記憶體,只写存储器,,,,,
write protection,防寫,写保护,,,,,
Wind River,溫瑞爾,风河,,,,,
Xerox,全錄,施乐,施樂,,,,
X window system,X視窗系統,X窗口系统,X Window系統,,,X窗口系统,X窗口系统
Yottabyte,佑位元組,尧字节,,,,,
Zettabyte,皆位元組,泽字节,,,,,
Zuckerberg,祖克柏,扎克伯格,朱克伯格,,,,
3-D film,3D電影,三维电影,,,,,
3D computer,3D電腦,三维计算机,,,,,
3D computer graphics,3D電腦圖形,三维计算机图形,,,,,
dead robot,當機器,当机器,,,,,
contacts,通訊錄,通讯录,,,,,
emoji,繪文字,绘文字,,,,,
equation,方程式,方程式,,,,,
References,參考資料,参考资料,,,,,
China Telecom,中國電信,中国电信,,,,,
Chunghwa Telecom,中華電信,中华电信,,,,,
CAC,中共中央網絡安全和信息化領導小組辦公室,中共中央网络安全和信息化领导小组办公室,,,,,
CNCERT,互聯網應急中心,互联网应急中心,,,,,
CNNIC,互聯網絡信息中心,互联网络信息中心,,,,,
Industry and Information Technology,工業和信息化,工业和信息化,,,,,
"National Administration of Surveying, Mapping and Geoinformation",國家測繪地理信息局,国家测绘地理信息局,,,,,
Hudong Baike,互動百科,互动百科,,,,,
World Internet Conference,世界互聯網大會,世界互联网大会,,,,,
Alibaba Cloud,阿里雲計算,阿里云计算,,,,,
Tencent Cloud,騰訊雲計算,腾讯云计算,,,,,
Baidu Cloud,百度雲計算,百度云计算,,,,,
LeCloud,樂視雲計算,乐视云计算,,,,,
ByteDance,字節跳動,字节跳动,,,,,
Wikimedia Commons,維基共享資源,维基共享资源,,,,,
shareware,共享軟體,共享软件,,,,,
Wikidata,維基數據,维基数据,,,,,
Baidu Video,百度視頻,百度视频,,,,,
Netease Video,網易視頻,网易视频,,,,,
Sina Video,新浪視頻,新浪视频,,,,,
Sohu Video,搜狐視頻,搜狐视频,,,,,
Tencent Video,騰訊視頻,腾讯视频,,,,,
Tik Tok,抖音短視頻,抖音短视频,,,,,
Tudou Video,土豆視頻,土豆视频,,,,,
Vigo Video,火山小視頻,火山小视频,,,,,
Xigua Video,西瓜視頻,西瓜视频,,,,,
Youku Video,優酷視頻,优酷视频,,,,,
Netease Blog,網易博客,网易博客,,,,,
Sina Blog,新浪博客,新浪博客,,,,,
Sohu Blog,搜狐博客,搜狐博客,,,,,
Tencent Blog,騰訊博客,腾讯博客,,,,,
Williamlong,月光博客,月光博客,,,,,
bookstw,博客來,博客来,,,,,
Netease Album,網易相冊,网易相册,,,,,
Baidu Album,百度相冊,百度相册,,,,,
360 Search,360搜索,360搜索,,,,,
Baidu Search,百度搜索,百度搜索,,,,,
Sogou Search,搜狗搜索,搜狗搜索,,,,,
Alibaba.com Ltd.,谷翔信息技術,谷翔信息技术,,,,,
Sumavision,數碼視訊,数码视讯,,,,,
support vector,支持向量,支持向量,,,,,
supporter,支持者,支持者,,,,,
I support,我支持,我支持,,,,,
support me,支持我,支持我,,,,,
support he,支持他,支持他,,,,,
support she,支持她,支持她,,,,,
executable,可執行,可执行,,,,,
executor,執行者,执行者,,,,,
random-access,隨機存取,随机存取,,,,,
analogizer,模擬器,模拟器,,,,,
archives,檔案室,档案室,,,,,
Hong Kong Supplementary Character Set,香港增補字符集,香港增补字符集,,,,,
Macao Supplementary Character Set,澳門增補字符集,澳门增补字符集,,,,,
Macao Information System Character Set,澳門資訊系統字集,澳门资讯系统字集,,,,,
bitcent,比特分,比特分,,,,,
bitcoin,比特幣,比特币,,,,,
BitComet,比特彗星,比特彗星,,,,,
BitSpirit,比特精靈,比特精灵,,,,,
micro-bitcoin,微比特,微比特,,,,,
milli-bitcoin,毫比特,毫比特,,,,,
functional,函數式,函数式,,,,,
Office Suite,辦公室套件,办公室套件,,,,,
rolling update,滾動更新,滚动更新,,,,,
script kiddie,腳本小子,脚本小子,,,,,
tablet computer,平板電腦,平板电脑,,,,,
theme,佈景主題,,,,,,
wubi,五筆字型,五笔字型,,,,,
code list,代碼表,代码表,,,,,
NSB,國家安全局,,,,,,
